ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006694,steroid biosynthetic process,23/2001,43/6449,0.5348837209302325,1.7238706228281209,3.194150549778162,0.0017556685413004272,0.02619762797279594,0.022771462910962978,YGR060W/YML075C/YMR015C/YML087C/YGR175C/YHR007C/YLR056W/YHR072W/YPL028W/YKL150W/YNL111C/YNR043W/YGL001C/YLR100W/YHR190W/YLR450W/YLR228C/YML125C/YNL231C/YMR202W/YER125W/YGL012W/YMR208W,23
GO:0055070,copper ion homeostasis,13/2001,20/6449,0.65,2.0948775612193904,3.2889896715619025,0.0017804799392773997,0.02631715233724895,0.022875355699841594,YER053C/YDR270W/YBR024W/YEL027W/YDR515W/YMR021C/YDR107C/YGL166W/YER113C/YJL077C/YMR244C-A/YHR175W/YLR083C,13
GO:0034976,response to endoplasmic reticulum stress,43/2001,94/6449,0.4574468085106383,1.474300084000553,3.1067980246518525,0.0017943512957215193,0.02631715233724895,0.022875355699841594,YDL204W/YCL043C/YJR066W/YEL037C/YFR010W/YDR233C/YNL305C/YPR095C/YGR048W/YOR288C/YFL031W/YJL034W/YLR378C/YHR079C/YJL048C/YMR276W/YLR096W/YDL005C/YGR184C/YGL141W/YMR161W/YDR122W/YLR332W/YMR184W/YHR029C/YMR067C/YDR411C/YCL047C/YFL025C/YBR170C/YML029W/YCL052C/YER089C/YLR361C/YBR162W-A/YHR204W/YJL087C/YMR214W/YAL058W/YJR143C/YPR131C/YPR141C/YFL044C,43
GO:0007005,mitochondrion organization,72/2001,173/6449,0.4161849710982659,1.3413177804161505,3.0520677247660872,0.0018313441647223169,0.026389264173663125,0.022938036642179273,YML081C-A/YHL021C/YMR002W/YDR529C/YHR005C-A/YLL009C/YFR004W/YBL030C/YJR120W/YCL057C-A/YDR379C-A/YDR079W/YNL121C/YBR269C/YOR045W/YBL059C-A/YEL020W-A/YIL065C/YDR322C-A/YDR511W/YML129C/YBR212W/YLR295C/YPL189C-A/YNL315C/YDR296W/YNL055C/YLR259C/YLR218C/YIR024C/YLR099W-A/YNL070W/YNR074C/YJR034W/YML091C/YPR140W/YPR020W/YGL191W/YKL137W/YPL063W/YOL027C/YBR120C/YER154W/YBR024W/YKR016W/YAL048C/YDR512C/YIL098C/YLR203C/YBR262C/YPR024W/YKL053C-A/YNL005C/YDR219C/YJR135W-A/YFR011C/YPR133W-A/YJL197W/YLR168C/YPL109C/YEL059C-A/YMR056C/YJL180C/YJL062W-A/YER058W/YMR244C-A/YER125W/YBR091C/YDR493W/YGR181W/YOL009C/YPL098C,72
GO:1903825,organic acid transmembrane transport,25/2001,48/6449,0.5208333333333334,1.678587789438614,3.1648739315688075,0.0018454030890673514,0.026389264173663125,0.022938036642179273,YNL101W/YGR243W/YJR095W/YKR039W/YKL217W/YEL063C/YGR260W/YOR348C/YJL193W/YHL036W/YPR058W/YGR191W/YHR162W/YIL088C/YCR075C/YKL120W/YCL025C/YLR348C/YLL055W/YCR028C/YPR021C/YEL064C/YGL080W/YKR105C/YAR035W,25
GO:1905039,carboxylic acid transmembrane transport,25/2001,48/6449,0.5208333333333334,1.678587789438614,3.1648739315688075,0.0018454030890673514,0.026389264173663125,0.022938036642179273,YNL101W/YGR243W/YJR095W/YKR039W/YKL217W/YEL063C/YGR260W/YOR348C/YJL193W/YHL036W/YPR058W/YGR191W/YHR162W/YIL088C/YCR075C/YKL120W/YCL025C/YLR348C/YLL055W/YCR028C/YPR021C/YEL064C/YGL080W/YKR105C/YAR035W,25
GO:0006094,gluconeogenesis,20/2001,36/6449,0.5555555555555556,1.790493642067855,3.18986777400865,0.0018948063265811156,0.026651538167321263,0.023166010049744962,YJL052W/YCR012W/YKL152C/YHR174W/YKL060C/YOL126C/YKR097W/YLR377C/YGR254W/YMR280C/YBR196C/YDR511W/YJL089W/YDR050C/YGL062W/YGL227W/YBR218C/YML028W/YBR058C/YGR066C,20
GO:0170041,non-proteinogenic amino acid metabolic process,20/2001,36/6449,0.5555555555555556,1.790493642067855,3.18986777400865,0.0018948063265811156,0.026651538167321263,0.023166010049744962,YPL111W/YLR303W/YLR438W/YAL012W/YNL277W/YMR170C/YIR023W/YNL239W/YFR055W/YJL088W/YLR231C/YOL058W/YGL196W/YMR169C/YGL184C/YLL058W/YOL140W/YPL273W/YEL066W/YJR078W,20
GO:0015695,organic cation transport,22/2001,41/6449,0.5365853658536586,1.7293548347777332,3.142123222161875,0.0020834403499691893,0.029066533662984787,0.025265168813918198,YOR273C/YHL016C/YNL101W/YDL210W/YMR246W/YEL063C/YPL274W/YOR348C/YLR237W/YOR049C/YGL077C/YHL036W/YPR058W/YGR191W/YIL088C/YEL062W/YCL025C/YLL055W/YOR271C/YOR100C/YKR105C/YJR059W,22
GO:0030001,metal ion transport,48/2001,108/6449,0.4444444444444444,1.432394913654284,3.039255751285352,0.002121317052097267,0.02935629081773315,0.025517031093563902,YER053C/YMR319C/YLL009C/YBL030C/YBR235W/YOR381W/YOL130W/YFL050C/YNL305C/YLR411W/YLR214W/YGR281W/YGR217W/YPR124W/YBR295W/YOR384W/YDR270W/YKL175W/YOL152W/YEL065W/YOL027C/YBR290W/YGR191W/YLL051C/YAL048C/YLL015W/YJL129C/YML123C/YOL158C/YHL040C/YOR383C/YDR506C/YMR056C/YDR135C/YNL259C/YDR205W/YMR058W/YGL255W/YHR175W/YLR443W/YLR047C/YJL093C/YOR382W/YLR138W/YMR034C/YOR079C/YBR296C/YDR534C,48
