gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
YGL055W,2517.495274297385,-4.867277785146078,0.14471008293127835,3.2146171261188273e-249,2.0300307151440395e-245
YJR152W,1324.0891065064263,-3.5321169692032828,0.14157389438046916,2.994823575909671e-138,9.456155440934787e-135
YJL052W,13517.823772359174,-4.907477234868947,0.19959692036863938,1.2793324705919186e-134,2.6929948505959886e-131
YHR094C,660.4973484542791,-4.901489493621572,0.20337528911661154,1.2011546654827172e-129,1.8963229281308398e-126
YIR019C,10042.679738022614,5.345010590968478,0.2286079058223124,7.410882549775766e-122,9.359944660366792e-119
YKL164C,412.7942694813679,4.230192845031966,0.18438014619953677,1.70717943721056e-117,1.7968063576641146e-114
YNR071C,1229.402328294804,9.02140420496577,0.39852552551477954,9.405387413938055e-114,8.485003074145545e-111
YNR073C,2428.7212329508525,8.771363431490405,0.38972358432487053,3.722597018515173e-113,2.9385250214904145e-110
YCR012W,3139.846656373584,-4.211698132038674,0.18967580871075765,2.232399155931348e-110,1.566400074411829e-107
YGR087C,496.99608579926695,-4.604625071452028,0.2077963609169745,1.5373476931821438e-109,9.708350682445238e-107
YOR273C,492.9408564932031,-4.505475329688485,0.20411444828926167,1.2537440763672566e-108,7.197630765690205e-106
YNR072W,906.0336029575863,5.490765549568993,0.2578307076618711,1.0370600921285259e-101,5.457528734826367e-99
YNL036W,620.576575575654,4.176318633956341,0.20322849093583087,1.0630134452856745e-94,5.163792236137719e-92
YKL152C,1800.1928828370794,-2.7568000253883587,0.1351673967301611,2.085120061713242e-93,9.405380849799373e-91
YNR034W-A,5553.20564900625,6.462715854198695,0.32156288786937925,4.587093378936488e-91,1.9311663125322617e-88
YGR125W,1062.9971685258756,-2.749801615464157,0.13739584455480108,4.988321659377532e-90,1.9688282049355696e-87
YJL212C,266.96240742864006,-5.45566010869904,0.28399529166672594,1.2941672964093779e-82,4.807450868720719e-80
YER067C-A,984.4841835587879,4.723027032231679,0.25478647879262456,8.774727834747383e-78,3.0784670153572067e-75
YGR142W,3891.53585891987,7.144931323302544,0.40049992671374546,2.1774314327346411e-72,7.23709447248382e-70
YJL158C,260.4889841865888,4.417167832669977,0.24955259366697893,4.284339082496587e-71,1.3527800652982972e-68
YLR327C,1202.7119802617508,6.427576663551892,0.36906553469178427,4.528544765109198e-69,1.3617981043649803e-66
YER103W,1892.990775118071,5.130063646465321,0.3017142371391171,7.71238678021859e-66,2.2138055689582e-63
YGR201C,186.35950539468413,-3.7694129120972746,0.22298964761095222,3.4344966660397247e-65,9.429933237409071e-63
YPR167C,286.2847066341846,4.198671915394878,0.2490021068993348,7.073716185640756e-65,1.8612715713467238e-62
YHR174W,689.151271576987,-2.9243659809667224,0.1781048751595603,1.810097716015875e-61,4.5723068306561e-59
YPL095C,358.3878202921988,-3.4270202827222267,0.2085087931456848,2.1364282189358164e-61,5.189055462530646e-59
YGR060W,515.6326958527083,-2.9005984277875396,0.17819620908327086,2.1967465216894294e-60,5.137946031284721e-58
YNL134C,1005.3705151788622,2.106760173234653,0.13158818605283415,1.7991500553508474e-58,4.0577259284073575e-56
YER053C,4425.144312872437,3.011558816411172,0.1906635106703892,3.428922405589749e-57,7.466774134930781e-55
YKR034W,319.0414908919364,-2.8990871446340054,0.1854944316820784,8.011456853920118e-56,1.686411667750185e-53
YPR036W-A,1404.9014568769035,3.5949464432613842,0.23087976550527312,9.944829504068298e-56,2.0258580102642356e-53
YKL060C,8449.319527000744,-1.8887271324485473,0.12120847157328107,1.3479855741083403e-55,2.660165281404428e-53
YKR075C,285.45190958020953,3.020533646762328,0.1940861721125734,1.5139464747617215e-55,2.8971430267031127e-53
YDR403W,129.0223701876606,4.63500866812006,0.30102220876509567,2.6174206795646236e-54,4.86147399748547e-52
YOR247W,174.56407667179406,3.853372122360421,0.2509829324503012,4.096386907503952e-54,7.391052377396416e-52
YOL128C,205.6168609723277,-3.84241052187216,0.25132114076461215,1.3048335353875e-53,2.2888954933255728e-51
YHR087W,396.9683142697294,3.8560258293590133,0.25293711093303,1.7037197380431437e-53,2.907835174524987e-51
YHR052W-A,645.7564037400723,5.216938935278837,0.34623384676696806,2.4763945914807776e-52,4.115376801368713e-50
YPL111W,180.9708324082377,3.5570808951698916,0.23860560872117337,2.6474032195113797e-51,4.2867567515934265e-49
YGR088W,677.5246013251436,-3.8824957961708937,0.26105082182001094,3.4861030142688e-51,5.503685133776868e-49
YPR127W,411.3693456717643,2.6954798203502435,0.1809853411624375,4.2621160686584115e-51,6.564698286238505e-49
YAL038W,1329.1607370286172,-2.8272467459191306,0.19119210721280014,2.0335577719198575e-50,3.0575993642080717e-48
YJR010W,187.7054722535166,3.551552700610192,0.2409691961379166,3.1174302122216435e-50,4.578272509344111e-48
YPL106C,1547.4808841241731,2.947110722068592,0.20067345737589623,8.63545911982089e-50,1.239384644128839e-47
YPR191W,1470.4142996129917,2.597667572964764,0.17851265776698916,6.908133648178545e-49,9.69441421961056e-47
YFR030W,646.4176737343162,2.8139250997612413,0.19415790906036767,1.284319643935786e-48,1.7631475111857584e-46
YDL059C,141.0597124146044,3.905435315173851,0.27064338575107383,3.438708113888153e-48,4.620306753022062e-46
YOL126C,210.29416751618135,-3.384167998019711,0.2352018954635907,8.474399706000212e-48,1.1149132113206529e-45
YKL001C,210.3350025569451,3.215226895227391,0.2244421432090841,1.5796843493994762e-47,2.0358585033587125e-45
YDR085C,283.4572841254055,2.9048542710240297,0.20296074388372437,1.9991286621228004e-47,2.524899500261097e-45
YKR069W,178.26821313765026,3.383411099636124,0.24222359110254102,2.079062945489276e-45,2.5248620193778422e-43
YKR097W,378.37365018477766,3.722679607678628,0.2656736063933595,2.0638410986141428e-45,2.5248620193778422e-43
YCR032W,167.7529021621633,-3.1591417361533702,0.2268342849513522,3.8545918635413745e-45,4.5927825694837315e-43
YBL015W,423.10541093896137,3.0006714389620854,0.2153946063142276,4.019494602640381e-45,4.7005756325322235e-43
YLR303W,1159.1462951707956,3.1663562614269667,0.22772103719545586,5.1576496257103425e-45,5.9219195247928744e-43
YKR093W,613.0108754291468,-2.1688769442336966,0.15587428316220303,7.936934602954028e-45,8.950311074581194e-43
